location,attributes,descrip
"Richmond, BC",$21-$30 an hour,"About This Role: You will be a key player in delivering high-quality, user-friendly web experiences to customers.
Your responsibilities will include:
Developing and maintaining user-facing features and functionality using React, CSS, and JavaScript.
Collaborating with team members to create and refine user interfaces.
Ensuring optimal performance, accessibility, and cross-browser compatibility of web applications.
Debugging and fixing compatibility issues across a variety of devices and browsers.
Requirements:
At least 1 year of experience developing and deploying web applications using React and CSS.
Strong proficiency in HTML, CSS, and JavaScript.
Experience with cross-browser compatibility issues and solutions.
Understanding of performance optimization techniques for web applications.
Good problem-solving and debugging skills.
Ability to work well in a team environment and effectively communicate with non-technical stakeholders.
Additional Desired Qualifications:
Mandarin language ability is considered a strong asset.
Job Type: Full-time
Salary: $21.00-$30.00 per hour
Benefits:
On-site gym
On-site parking
Paid time off
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Overtime pay
Education:
Bachelor's Degree (preferred)
Language:
English (preferred)
Work Location: In person"
"Hybrid remote in Vancouver, BC",Full-time,"Intellifi is looking for an Intermediate Front-End Developer to join our growing team based in Vancouver. This is an exciting opportunity for emerging talent to join the changing landscape of the mortgage industry. You will be joining one of Canada-s leading providers of institutional mortgage software and will be supported by our team of seasoned and talented developers.
Role and Responsibilities:
- Work with internal stakeholders on development strategy and execution plans while meeting the functional requirements of the business.
- Collaborate with engineering team and product team to build best products.
- Deliver a solid technical solution with consideration to security, performance, usability, testability, reliability, and scalability of the application.
- Use effective communication skills to ensure projects and expectations are delivered successfully.
- Ensure code is delivered in a timely manner and any issues are proactively communicated to the Business Analyst and Project Manager.
- Work with one or many of the following technologies: ReactJS, JavaScript, NodeJS, HTML/CSS.
Skills and Qualifications:
- Bachelor-s degree in computer engineering or relevant field
- 3+ professional experience working with ReactJS
- Demonstrated proficiency with front end development using ReactJS through work experiences
- Have strong communication skills, both verbal and written
- Have passion to learn and build your technical skills
- Want to build a foundation with a growing company
- Work well in a team and independently
- Having experience with Test Driven Development is an asset
Benefits and Perks
Some of the benefits we offer at Intellifi include:
- Health and Wellness Spending Accounts
- Health, Drug, Vision, and Dental benefits
- Paid vacation, sick days, and personal days (in addition to all civil and statutory holidays)
- RRSP Matching Program
- Maternity / Parental Leave Top Up Program
- Discounted gym memberships
- Travel assistance and EAP
- Business Casual dress code
- Company social events + sports teams
- Hybrid work arrangements
- Education reimbursement
- Training and mentoring programs
- And more!
About Us
Welcome to Intellifi, where our mission is -Lending Solutions Simplified-. This is more than tagline for us - it-s our commitment to every customer, business partner and team member.
While we have decades worth of experience and expertise in Commercial Services and Technology, Residential Services, and Residential Technology, we aren-t standing still. From the adventurous startups to the established institutions with billions in assets, and to those we have yet to serve, we owe it to our dozens of clients to always be moving forward.
At Intellifi we believe that a culture of innovation, creativity and partnership is what enable us to provide executable end-to-end solutions to the various lenders in the residential and commercial industry in Canada. Where hi-tech meets hi-touch, we are a team of experts providing a selection of technology products and lending operations services that helps create efficiency in loan management for both our clients and their customers.
Equal Opportunity Employer
Intellifi is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, Aboriginal/Native American status or any other legally-protected factors. Disability-related accommodations are available on request for candidates taking part in all aspects of the selection process by emailing HR@intellifi.ca.
We want to hear from you!
If you are confident that you would be a strong asset to our team, submit both a cover letter and resume today! We thank all applicants for their time in applying, however we will only contact those selected for an interview. Consideration of applications will begin immediately and continue until the position is filled.
Job Type: Full-time"
"Burnaby, BC","$80,718-$93,540 a year","Position Summary

APPLICATION DEVELOPER(.NET DEVELOPERS) - 2 POSITIONS
Job ID: 4866
REGULAR/FULL-TIME
Location: BURNABY, BC

To be considered for this role, applications MUST be submitted online, by clicking on 'Apply' below.
Join one of BC-s Top Employers!
Be part of an exceptional company culture with great employee benefits and a healthy work/life balance!
BC Housing thanks all applicants for their interest; only those selected for an interview will be contacted. This position is only open to those legally entitled to work in Canada.
THE ORGANIZATION
BC Housing is a provincial Crown Corporation that develops, manages and administers a wide range of subsidized housing options for those most in need across the province to address critical gaps across the housing continuum ranging from emergency shelter through to rent assistance in the private market and affordable home ownership. Share in the rewards of working with an organization that offers challenging work and competitive compensation and supports the growth and development of its people.
Our mission is making a difference in people's lives and communities through safe, affordable and quality housing.
BC Housing offers competitive salaries and an excellent benefits package. But a job is more than a pay cheque. We also offer our staff the opportunity to work together to make a difference. When employees go home at the end of the day, they experience the satisfaction of knowing they-ve helped provide safe, affordable housing for British Columbians. And while they-re here, employees can take advantage of many opportunities:
In-house training, and training at other institutions, for courses related to employees- current positions or to prepare them for advancement within BC Housing.
Wellness programs including physical fitness, programs to help employees quit smoking, free flu shots, mental health resources, and lunch-and-learn lectures and seminars.
Recognition programs including long-term service awards, idea recognition and outstanding performance awards.
Livegreen incentives include an employee transit pass program, and other initiatives that encourage alternative, sustainable transportation (even a bike purchase program!).
An active Social Club that organizes special events like seasonal parties and arranges group discounts to other events.
Participation in community and charitable events.
** Please note: Eligibility for benefits offered is based on employment status **

APPLICATION DEVELOPER(.NET DEVELOPERS):
($80,718.42 - $93,540.00 Annually)
POSITION SUMMARY
Reporting to the Manager, Business Applications Development or Manager, IT Programs, the Application Developer is responsible for analyzing, designing, developing, testing, and maintaining software applications to support the achievement of business objectives. He/She/They researches, documents, and modifies software throughout the system life cycle. The incumbent works closely with internal departments to provide technical support to the end user community and resolve system performance issues.
CANDIDATE PROFILE
The successful candidate will have the following:
EDUCATION & EXPERIENCE:
Bachelor-s Degree in Information Technology, Computer Science, or Engineering from a recognized post-secondary
institution.
Considerable development experience in small to medium projects, IT solutions and services, designing operational reporting
applications, interacting with project managers, business analysts, as well as technical resources such as application
development team members and users, and complete lifecycle application development projects.
Or an equivalent combination of education, training and experience acceptable to the employer.
Criminal Record Check required.
KNOWLEDGE, SKILLS AND ABILITIES:
Strong communication, interpersonal, organizational, analytical and problem-solving skills.
Ability to identify, diagnose, troubleshoot and resolve technical issues.
Ability to take ownership of tasks and drive them through to completion; thrives when working under pressure to meet
changing deadlines due to shifting priorities.
Ability to effectively create and update technical and user manual documentation using good technical writing skills.
Ability to work either independently and/ or part of a cross functional software development team.
Ability to generate and articulate new ideas; adapt effectively to new technologies.
Ability to deal with confidential information using good judgement and discretion.
Ability to present information effectively during presentations, demonstrations and project meetings.
Sound knowledge and familiarity with the following software and languages:

Software components:

Azure Services such as Azure SQL, Azure Storage, Web App /services, Logic Apps, Power Platform,
SharePoint Online and Dynamics 365
Designing and developing operational reports using Crystal Reports, Power BI, or Oracle BI Publisher
Designing and developing database views, functions, and stored procedures in MS SQL Server or Oracle Databases
Source control and branching software such as Microsoft Team Foundation or Azure DevOps

Languages

C#
Responsive web application using HTML, CSS, ASP.NET, MVC, Bootstrap, and JavaScript
SQL, T-SQL, PL/SQL
Web Standards/Specifications, e.g. RESTful / Web API, MS Graph API

Please Note: Successful applicant(s) are subject to a satisfactory criminal record search and are required to maintain Security Clearance throughout their employment.
Indigenous candidates are welcome to connect with an Indigenous team member in our organization to discuss the recruitment process and our workplace, please contact hr_admin@bchousing.org to arrange a call.
How to Apply:

Your cover letter and resume should be submitted as one document in your profile when applying for this position. Please add your cover letter to your resume and submit both documents as your resume.

(When there is a pop up asking if you wish to view only secure items, press no)
As part of the application process, you will be prompted to fill out a questionnaire which must be completed in order for your application to be considered. Please allot up to 5 minutes to fill it out after submitting your resume and cover letter as one single document.
Only applications submitted using the Online Recruitment System at www.bchousing.org/careers will be accepted
If you are passionate about what you do and want to use your expertise to engage in a meaningful and challenging work, please apply to join our team today at www.bchousing.org/careers
At BC Housing, we're committed to providing a healthy, safe and inclusive workplace where respect and diversity are recognized assets. We invite and welcome applications from women, visible minorities, Indigenous Peoples, Persons with Disabilities and Disabled People, persons of all sexual orientations and gender identities, and all people committed to meaningful work that makes a difference. We are committed to providing an inclusive and barrier-free work environment, starting with the hiring process. If you require accommodations at any point during the application and hiring process, please contact hr_admin@bchousing.org.
We didn-t become one of BC-s Top Employers and one of Canada-s Greenest Employers without a lot of thought, care and consideration for our team and environment. Our supportive and collaborative workplace balances engaging and challenging work with personal development and wellness initiatives.

IND1"
"Richmond, BC",$19-$35 an hour,"Responsibility: Set up the server and the database, collaborate with our IT team to develop the company's official website.
Job Requirements:
Experience: At least 1 year of back-end experience required.
Technical Skills: languages like PHP, Python, Java, or Ruby, knowledge of frameworks and tools like Django, Spring, or Node.js. The candidate should also be familiar with MySQL, PostgreSQL, MongoDB, or Oracle.
API Development: experience in building Google Map APIs.
Problem-Solving and Analytical Skills: strong problem-solving and analytical skills in developing efficient and scalable back-end solutions.
Additional Desired Qualifications:
Mandarin language ability is considered a strong asset.
Job Type: Full-time
Salary: $19.00-$35.00 per hour
Benefits:
On-site gym
On-site parking
Paid time off
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Overtime pay
Education:
Bachelor's Degree (preferred)
Work Location: In person"
"Surrey, BC",$32.71 an hour,"Education: Bachelor's degree
Experience: 2 years to less than 3 years
Work setting
Willing to relocate
Tasks
Prepare mock-ups and storyboards
Develop Website architecture and determine hardware and software requirements
Source, select and organize information for inclusion and design the appearance, layout and flow of the Website
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Computer and technology knowledge
Advanced Business Application Programming (ABAP)
HTML
JavaScript
CSS
Object-Oriented programming languages
PHP
Programming software
HTML editing software
Website creation and management software
Web service design
Desktop publishing software
JQuery
MySQL
Database software
Programming languages
Software development
React.js
Ruby
Python
Security and safety
Basic security clearance
Work conditions and physical capabilities
Work under pressure
Financial benefits
As per collective agreement
Work Term: Permanent
Work Language: English
Hours: 40 hours per week"
"Abbotsford, BC",$29 an hour,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years
Experience: 2 years to less than 3 years
or equivalent experience
Tasks
Consult with clients to develop and document Website requirements
Prepare mock-ups and storyboards
Develop Website architecture and determine hardware and software requirements
Source, select and organize information for inclusion and design the appearance, layout and flow of the Website
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Work Term: Permanent
Work Language: English
Hours: 40 hours per week"
"Hybrid remote in Surrey, BC","$73,150-$82,375 a year","Location: This opportunity has the ability to be remotely based within Canada (except for QC), or onsite/hybrid/remote in the Vancouver, BC Lower Mainland.
Annual Base Salary: $73,150 - $82,375 CAD
Please note that employment is contingent upon the successful completion of reference checks and background checks, including a Canadian criminal background check.
Application Instructions:
Please upload your application files in PDF format only.

Software Developer I, FME Flow (Frontend)
Safe Software is looking for a Front End Software Developer I who is interested in becoming part of one of the fastest growing data integration companies in the world! As a Front End Software Developer I on our FME Flow Team, you will work on designing and developing highly interactive and powerful user interfaces utilizing cutting edge Web technologies.
About The Team
The FME Flow team consists of both front-end and back-end developers, UI/UX designers, product owners, quality analysts and co-op student interns that collaborate on a wide variety of exciting and innovative projects. The team works in an Agile environment and works closely together to find the best possible solutions to challenging problems.
What You'll Be Doing
As a Front End Software Developer I, you will:
Develop and maintain features of the User Interface for FME Flow.
Analyze requirements, design and develop innovative software solutions.
Modify FME Flow to add new functions, improve performance and enhance product usability.
Write unit and integration tests.
Present new features to stakeholders.
Collaborate with other teams including QA, Product Management, Design, and Development.

Qualifications, Skills, and Competencies
Safers come from a variety of backgrounds with diverse skills and knowledge. Those who are most successful in this role have experience with the following.
Required skills:
Bachelor's degree in Computer Science, or related field.
1+ years of experience in a related role.
Previous experience with Angular Framework.
Experience with HTML5, CSS3, and JavaScript/Typescript.
Strong willingness to learn and be able to thrive in a fast-paced and dynamic environment.
Strong written and verbal communication skills.
A team player - you are able to work independently as well as in a team.
A self-starter - you are able to set schedules, manage deadlines and risks to deliver on assigned projects.
Excellent planning, organizational and time management skills.
Critical thinker with high attention to detail.
Desired skills / Bonus points:
Experience in writing unit and integration tests using tools like Karma and Cypress
Experience in Responsive Design.
What You Can Expect
When you choose a career with Safe Software, you-re also choosing-
Meaningful Work: Make a profound impact across our business, workplace and data integration product.
A Supportive Environment: Feel empowered to share your ideas and implement them with high autonomy and team support.
Social Responsibility: Become a part of a team that finds meaningful ways to give back. Take the day off to volunteer for a cause that matters to you or join our D&I Committee and shape our collective future.
Learning & Career Development: We believe in your continuous learning and growth. Take advantage of an annual learning budget and training programs paid for by Safe.
Flexible Working Hours: Flexible and remote-friendly work arrangements to fit your lifestyle. Work when you want, and how you want to.
Work-Life Balance: There's no place for burnout at Safe. Maintain a healthy balance of your personal and work life without splitting yourself in two. Enjoy 3 weeks of vacation to recharge, plus an additional paid 6 seasonal days off per year.
Health & Wellness: Extended health, dental and counseling benefits from day 1. That-s right, no waiting period.
Shared Success: Share in Safe-s success with our bi-annual profit sharing and RRSP/TFSA matching program.
An Accessible Commute: Regardless of your commute method, we-re located close to public transit, and provide complimentary parking and bike storage for our team!

About Safe Software
Safe Software is the creator and developer of FME - the data integration platform with the best support for spatial data worldwide. Over 10,000 organizations around the world use FME in industries like AEC, government, utilities, and transportation to maximize the value of their data.
Founded in 1993, Safe is headquartered in Surrey, BC with over 200 team members and counting. We-re always looking for talented individuals with diverse backgrounds who are determined to learn and grow. Are you ready to join the team?

Our Commitment to Diversity and Inclusion
Safe Software is an equal opportunity employer and we truly believe that innovation and strength begin with diversity and inclusion. We welcome all candidates regardless of race, gender identity or expression, sexual orientation, age, ability, disability, national or ethnic origin, political belief, religion, or family status. Should you require accommodations during the recruitment process, please contact hr_dept@safe.com."
"Richmond, BC",$21-$30 an hour,"About This Role: You will be a key player in delivering high-quality, user-friendly web experiences to customers.
Your responsibilities will include:
Developing and maintaining user-facing features and functionality using React, CSS, and JavaScript.
Collaborating with team members to create and refine user interfaces.
Ensuring optimal performance, accessibility, and cross-browser compatibility of web applications.
Debugging and fixing compatibility issues across a variety of devices and browsers.
Requirements:
At least 1 year of experience developing and deploying web applications using React and CSS.
Strong proficiency in HTML, CSS, and JavaScript.
Experience with cross-browser compatibility issues and solutions.
Understanding of performance optimization techniques for web applications.
Good problem-solving and debugging skills.
Ability to work well in a team environment and effectively communicate with non-technical stakeholders.
Additional Desired Qualifications:
Mandarin language ability is considered a strong asset.
Job Type: Full-time
Salary: $21.00-$30.00 per hour
Benefits:
On-site gym
On-site parking
Paid time off
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Overtime pay
Education:
Bachelor's Degree (preferred)
Language:
English (preferred)
Work Location: In person"
"Hybrid remote in Vancouver, BC",Full-time,"Intellifi is looking for an Intermediate Front-End Developer to join our growing team based in Vancouver. This is an exciting opportunity for emerging talent to join the changing landscape of the mortgage industry. You will be joining one of Canada-s leading providers of institutional mortgage software and will be supported by our team of seasoned and talented developers.
Role and Responsibilities:
- Work with internal stakeholders on development strategy and execution plans while meeting the functional requirements of the business.
- Collaborate with engineering team and product team to build best products.
- Deliver a solid technical solution with consideration to security, performance, usability, testability, reliability, and scalability of the application.
- Use effective communication skills to ensure projects and expectations are delivered successfully.
- Ensure code is delivered in a timely manner and any issues are proactively communicated to the Business Analyst and Project Manager.
- Work with one or many of the following technologies: ReactJS, JavaScript, NodeJS, HTML/CSS.
Skills and Qualifications:
- Bachelor-s degree in computer engineering or relevant field
- 3+ professional experience working with ReactJS
- Demonstrated proficiency with front end development using ReactJS through work experiences
- Have strong communication skills, both verbal and written
- Have passion to learn and build your technical skills
- Want to build a foundation with a growing company
- Work well in a team and independently
- Having experience with Test Driven Development is an asset
Benefits and Perks
Some of the benefits we offer at Intellifi include:
- Health and Wellness Spending Accounts
- Health, Drug, Vision, and Dental benefits
- Paid vacation, sick days, and personal days (in addition to all civil and statutory holidays)
- RRSP Matching Program
- Maternity / Parental Leave Top Up Program
- Discounted gym memberships
- Travel assistance and EAP
- Business Casual dress code
- Company social events + sports teams
- Hybrid work arrangements
- Education reimbursement
- Training and mentoring programs
- And more!
About Us
Welcome to Intellifi, where our mission is -Lending Solutions Simplified-. This is more than tagline for us - it-s our commitment to every customer, business partner and team member.
While we have decades worth of experience and expertise in Commercial Services and Technology, Residential Services, and Residential Technology, we aren-t standing still. From the adventurous startups to the established institutions with billions in assets, and to those we have yet to serve, we owe it to our dozens of clients to always be moving forward.
At Intellifi we believe that a culture of innovation, creativity and partnership is what enable us to provide executable end-to-end solutions to the various lenders in the residential and commercial industry in Canada. Where hi-tech meets hi-touch, we are a team of experts providing a selection of technology products and lending operations services that helps create efficiency in loan management for both our clients and their customers.
Equal Opportunity Employer
Intellifi is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, Aboriginal/Native American status or any other legally-protected factors. Disability-related accommodations are available on request for candidates taking part in all aspects of the selection process by emailing HR@intellifi.ca.
We want to hear from you!
If you are confident that you would be a strong asset to our team, submit both a cover letter and resume today! We thank all applicants for their time in applying, however we will only contact those selected for an interview. Consideration of applications will begin immediately and continue until the position is filled.
Job Type: Full-time"
"White Rock, BC",$32.71 an hour,"Education: Bachelor's degree
Experience: 2 years to less than 3 years
Work setting
Willing to relocate
Tasks
Prepare mock-ups and storyboards
Develop Website architecture and determine hardware and software requirements
Source, select and organize information for inclusion and design the appearance, layout and flow of the Website
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Computer and technology knowledge
Advanced Business Application Programming (ABAP)
HTML
Desktop applications
JavaScript
CSS
Object-Oriented programming languages
PHP
Programming software
HTML editing software
Website creation and management software
Web service design
Desktop publishing software
JQuery
MySQL
Database software
Programming languages
Software development
React.js
Ruby
Python
Security and safety
Basic security clearance
Work conditions and physical capabilities
Work under pressure
Financial benefits
As per collective agreement
Work Term: Permanent
Work Language: English
Hours: 40 hours per week"
"Burnaby, BC","$80,718-$93,540 a year","Position Summary

APPLICATION DEVELOPER(.NET DEVELOPERS) - 2 POSITIONS
Job ID: 4866
REGULAR/FULL-TIME
Location: BURNABY, BC

To be considered for this role, applications MUST be submitted online, by clicking on 'Apply' below.
Join one of BC-s Top Employers!
Be part of an exceptional company culture with great employee benefits and a healthy work/life balance!
BC Housing thanks all applicants for their interest; only those selected for an interview will be contacted. This position is only open to those legally entitled to work in Canada.
THE ORGANIZATION
BC Housing is a provincial Crown Corporation that develops, manages and administers a wide range of subsidized housing options for those most in need across the province to address critical gaps across the housing continuum ranging from emergency shelter through to rent assistance in the private market and affordable home ownership. Share in the rewards of working with an organization that offers challenging work and competitive compensation and supports the growth and development of its people.
Our mission is making a difference in people's lives and communities through safe, affordable and quality housing.
BC Housing offers competitive salaries and an excellent benefits package. But a job is more than a pay cheque. We also offer our staff the opportunity to work together to make a difference. When employees go home at the end of the day, they experience the satisfaction of knowing they-ve helped provide safe, affordable housing for British Columbians. And while they-re here, employees can take advantage of many opportunities:
In-house training, and training at other institutions, for courses related to employees- current positions or to prepare them for advancement within BC Housing.
Wellness programs including physical fitness, programs to help employees quit smoking, free flu shots, mental health resources, and lunch-and-learn lectures and seminars.
Recognition programs including long-term service awards, idea recognition and outstanding performance awards.
Livegreen incentives include an employee transit pass program, and other initiatives that encourage alternative, sustainable transportation (even a bike purchase program!).
An active Social Club that organizes special events like seasonal parties and arranges group discounts to other events.
Participation in community and charitable events.
** Please note: Eligibility for benefits offered is based on employment status **

APPLICATION DEVELOPER(.NET DEVELOPERS):
($80,718.42 - $93,540.00 Annually)
POSITION SUMMARY
Reporting to the Manager, Business Applications Development or Manager, IT Programs, the Application Developer is responsible for analyzing, designing, developing, testing, and maintaining software applications to support the achievement of business objectives. He/She/They researches, documents, and modifies software throughout the system life cycle. The incumbent works closely with internal departments to provide technical support to the end user community and resolve system performance issues.
CANDIDATE PROFILE
The successful candidate will have the following:
EDUCATION & EXPERIENCE:
Bachelor-s Degree in Information Technology, Computer Science, or Engineering from a recognized post-secondary
institution.
Considerable development experience in small to medium projects, IT solutions and services, designing operational reporting
applications, interacting with project managers, business analysts, as well as technical resources such as application
development team members and users, and complete lifecycle application development projects.
Or an equivalent combination of education, training and experience acceptable to the employer.
Criminal Record Check required.
KNOWLEDGE, SKILLS AND ABILITIES:
Strong communication, interpersonal, organizational, analytical and problem-solving skills.
Ability to identify, diagnose, troubleshoot and resolve technical issues.
Ability to take ownership of tasks and drive them through to completion; thrives when working under pressure to meet
changing deadlines due to shifting priorities.
Ability to effectively create and update technical and user manual documentation using good technical writing skills.
Ability to work either independently and/ or part of a cross functional software development team.
Ability to generate and articulate new ideas; adapt effectively to new technologies.
Ability to deal with confidential information using good judgement and discretion.
Ability to present information effectively during presentations, demonstrations and project meetings.
Sound knowledge and familiarity with the following software and languages:

Software components:

Azure Services such as Azure SQL, Azure Storage, Web App /services, Logic Apps, Power Platform,
SharePoint Online and Dynamics 365
Designing and developing operational reports using Crystal Reports, Power BI, or Oracle BI Publisher
Designing and developing database views, functions, and stored procedures in MS SQL Server or Oracle Databases
Source control and branching software such as Microsoft Team Foundation or Azure DevOps

Languages

C#
Responsive web application using HTML, CSS, ASP.NET, MVC, Bootstrap, and JavaScript
SQL, T-SQL, PL/SQL
Web Standards/Specifications, e.g. RESTful / Web API, MS Graph API

Please Note: Successful applicant(s) are subject to a satisfactory criminal record search and are required to maintain Security Clearance throughout their employment.
Indigenous candidates are welcome to connect with an Indigenous team member in our organization to discuss the recruitment process and our workplace, please contact hr_admin@bchousing.org to arrange a call.
How to Apply:

Your cover letter and resume should be submitted as one document in your profile when applying for this position. Please add your cover letter to your resume and submit both documents as your resume.

(When there is a pop up asking if you wish to view only secure items, press no)
As part of the application process, you will be prompted to fill out a questionnaire which must be completed in order for your application to be considered. Please allot up to 5 minutes to fill it out after submitting your resume and cover letter as one single document.
Only applications submitted using the Online Recruitment System at www.bchousing.org/careers will be accepted
If you are passionate about what you do and want to use your expertise to engage in a meaningful and challenging work, please apply to join our team today at www.bchousing.org/careers
At BC Housing, we're committed to providing a healthy, safe and inclusive workplace where respect and diversity are recognized assets. We invite and welcome applications from women, visible minorities, Indigenous Peoples, Persons with Disabilities and Disabled People, persons of all sexual orientations and gender identities, and all people committed to meaningful work that makes a difference. We are committed to providing an inclusive and barrier-free work environment, starting with the hiring process. If you require accommodations at any point during the application and hiring process, please contact hr_admin@bchousing.org.
We didn-t become one of BC-s Top Employers and one of Canada-s Greenest Employers without a lot of thought, care and consideration for our team and environment. Our supportive and collaborative workplace balances engaging and challenging work with personal development and wellness initiatives.

IND1"
"Richmond, BC",$19-$35 an hour,"Responsibility: Set up the server and the database, collaborate with our IT team to develop the company's official website.
Job Requirements:
Experience: At least 1 year of back-end experience required.
Technical Skills: languages like PHP, Python, Java, or Ruby, knowledge of frameworks and tools like Django, Spring, or Node.js. The candidate should also be familiar with MySQL, PostgreSQL, MongoDB, or Oracle.
API Development: experience in building Google Map APIs.
Problem-Solving and Analytical Skills: strong problem-solving and analytical skills in developing efficient and scalable back-end solutions.
Additional Desired Qualifications:
Mandarin language ability is considered a strong asset.
Job Type: Full-time
Salary: $19.00-$35.00 per hour
Benefits:
On-site gym
On-site parking
Paid time off
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Overtime pay
Education:
Bachelor's Degree (preferred)
Work Location: In person"
"Surrey, BC",$32.71 an hour,"Education: Bachelor's degree
Experience: 2 years to less than 3 years
Work setting
Willing to relocate
Tasks
Prepare mock-ups and storyboards
Develop Website architecture and determine hardware and software requirements
Source, select and organize information for inclusion and design the appearance, layout and flow of the Website
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Computer and technology knowledge
Advanced Business Application Programming (ABAP)
HTML
JavaScript
CSS
Object-Oriented programming languages
PHP
Programming software
HTML editing software
Website creation and management software
Web service design
Desktop publishing software
JQuery
MySQL
Database software
Programming languages
Software development
React.js
Ruby
Python
Security and safety
Basic security clearance
Work conditions and physical capabilities
Work under pressure
Financial benefits
As per collective agreement
Work Term: Permanent
Work Language: English
Hours: 40 hours per week"
"Abbotsford, BC",$29 an hour,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years
Experience: 2 years to less than 3 years
or equivalent experience
Tasks
Consult with clients to develop and document Website requirements
Prepare mock-ups and storyboards
Develop Website architecture and determine hardware and software requirements
Source, select and organize information for inclusion and design the appearance, layout and flow of the Website
Create and optimize content for Website using a variety of graphics, database, animation and other software
Research and evaluate a variety of interactive media software products
Conduct tests and perform security and quality controls
Plan, design, write, modify, integrate and test Web-site related code
Work Term: Permanent
Work Language: English
Hours: 40 hours per week"
